target,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
FHB_index,diff_r1_CI_RE2_median,62,-0.539408282162458,6.074984689500411e-06,-0.6129553835717023,1.1862052776710716e-07,0.539408282162458,0.6129553835717023
FHB_index,0418_r1_ND_B1_B4_median,62,0.3055674838808734,0.015728777257018014,0.6126859052530653,1.20566711134129e-07,0.3055674838808734,0.6126859052530653
FHB_index,0418_r1_ND_B1_B2_mean,62,0.266281876929889,0.03644135456373029,0.6104492352083782,1.3792218061929504e-07,0.266281876929889,0.6104492352083782
FHB_index,diff_r1_ND_B5_B6_median,62,0.5493848471055035,3.759927581480613e-06,0.6066495909155968,1.7291239395974395e-07,0.5493848471055035,0.6066495909155968
FHB_index,diff_r1_NDRE2_median,62,-0.5493848471055035,3.759927581480613e-06,-0.6066495909155968,1.7291239395974395e-07,0.5493848471055035,0.6066495909155968
FHB_index,0418_r1_ND_B3_B4_median,62,0.39497630133637324,0.0014880432395992704,0.6023918334811322,2.2199489205240506e-07,0.39497630133637324,0.6023918334811322
FHB_index,0418_r1_RENDVI1_median,62,-0.39497630133637324,0.0014880432395992704,-0.6023918334811322,2.2199489205240506e-07,0.39497630133637324,0.6023918334811322
FHB_index,0418_r1_ND_B1_B2_median,62,0.40703029225161874,0.001026569757097704,0.585657229893775,5.727230608820997e-07,0.40703029225161874,0.585657229893775
FHB_index,0418_r0p5_ND_B1_B4_median,62,0.3898136155752605,0.00173722500832267,0.5776806716621201,8.833511806216821e-07,0.3898136155752605,0.5776806716621201
FHB_index,diff_r1_CI_RE2_mean,62,-0.5049627669512183,2.8455618581121738e-05,-0.5763602279007988,9.479975651397705e-07,0.5049627669512183,0.5763602279007988
FHB_index,diff_r1_ND_B5_B6_mean,62,0.5141065726146965,1.919522350805907e-05,0.5752284189625234,1.0069141269381805e-06,0.5141065726146965,0.5752284189625234
FHB_index,diff_r1_NDRE2_mean,62,-0.5141065726146965,1.919522350805907e-05,-0.5752284189625234,1.0069141269381805e-06,0.5141065726146965,0.5752284189625234
FHB_index,0418_r1_ND_B2_B3_median,62,-0.455770402168908,0.00019723420096386454,-0.5676021825450965,1.5028030508861003e-06,0.455770402168908,0.5676021825450965
FHB_index,rel_r1_CI_RE2_mean,62,-0.49511211606357214,4.295049490141477e-05,-0.5603801636056251,2.1758364779130906e-06,0.49511211606357214,0.5603801636056251
FHB_index,ratio_r1_CI_RE2_mean,62,-0.4951121160635721,4.295049490141477e-05,-0.5603801636056251,2.1758364779130906e-06,0.4951121160635721,0.5603801636056251
FHB_index,0418_r0p5_ND_B1_B4_mean,62,0.2314205807728119,0.07033022750210349,0.5602454244463067,2.1907304377085386e-06,0.2314205807728119,0.5602454244463067
FHB_index,ratio_r1_NDRE2_mean,62,-0.49694248405919667,3.9825318325728026e-05,-0.5526191880288798,3.2075871060745944e-06,0.49694248405919667,0.5526191880288798
FHB_index,rel_r1_NDRE2_mean,62,-0.4969424840591966,3.982531832572839e-05,-0.5526191880288798,3.2075871060745944e-06,0.4969424840591966,0.5526191880288798
FHB_index,ratio_r1_CI_RE2_median,62,-0.5368194655093237,6.863304360364894e-06,-0.5469331955056392,4.2364761478183736e-06,0.5368194655093237,0.5469331955056392
FHB_index,rel_r1_CI_RE2_median,62,-0.5368194655093235,6.863304360364965e-06,-0.5469331955056392,4.2364761478183736e-06,0.5368194655093235,0.5469331955056392
FHB_index,ratio_r1_NDRE2_median,62,-0.5409490967314703,5.6467516359025245e-06,-0.5396033852387131,6.019133780494476e-06,0.5409490967314703,0.5396033852387131
FHB_index,rel_r1_NDRE2_median,62,-0.5409490967314701,5.646751635902584e-06,-0.5396033852387131,6.019133780494476e-06,0.5409490967314701,0.5396033852387131
FHB_index,0418_r1_ND_B2_B3_mean,62,-0.26671003440068963,0.036130187445828,-0.536019323600841,7.125611287811435e-06,0.26671003440068963,0.536019323600841
FHB_index,0418_r1_ND_B3_B4_mean,62,0.13455375007538828,0.2971027804857008,0.5329742186002431,8.211715677542514e-06,0.13455375007538828,0.5329742186002431
FHB_index,0418_r1_RENDVI1_mean,62,-0.13455375007538828,0.2971027804857008,-0.5329742186002431,8.211715677542514e-06,0.13455375007538828,0.5329742186002431
FHB_index,ratio_r0p5_CI_RE2_mean,62,-0.4758779292167282,9.261653079768099e-05,-0.5255635648377257,1.153197048586924e-05,0.4758779292167282,0.5255635648377257
FHB_index,rel_r0p5_CI_RE2_mean,62,-0.47587792921672817,9.261653079768099e-05,-0.5255635648377257,1.153197048586924e-05,0.47587792921672817,0.5255635648377257
FHB_index,0418_r1_ND_B1_B4_mean,62,0.1009805290244971,0.4348382649411051,0.5247281820499512,1.1975976344673318e-05,0.1009805290244971,0.5247281820499512
FHB_index,0418_r1_CI_RE2_median,62,0.371506085405496,0.0029499983601316295,0.5235963731116757,1.2602920751040401e-05,0.371506085405496,0.5235963731116757
FHB_index,0418_r1_ND_B5_B6_median,62,-0.3696847630458004,0.003104509930240942,-0.5235963731116757,1.2602920751040401e-05,0.3696847630458004,0.5235963731116757
FHB_num,0418_r1_ND_B1_B2_mean,63,0.28207646935399444,0.02510562053601208,0.6283437191510323,3.522579345037318e-08,0.28207646935399444,0.6283437191510323
