target,model,feature,importance
Flower_num,LinearRegression,0510_r1_SAVI_mean,371839.26159689407
Flower_num,LinearRegression,0510_r1_NDVI_mean,185901.42706640804
Flower_num,LinearRegression,0510_r1_ND_B3_B6_mean,185901.42706410412
Flower_num,LinearRegression,diff_r1_EVI_mean,234.09899217406425
Flower_num,LinearRegression,rel_r1_EVI_mean,167.35012196086245
Flower_num,LinearRegression,ratio_r1_EVI_mean,167.3500261026548
Flower_num,LinearRegression,0510_r1_EVI_mean,111.00233556917823
Flower_num,LinearRegression,rel_r1_RENDVI1_mean,93.73564822516275
Flower_num,LinearRegression,ratio_r1_RENDVI1_mean,93.73564477516626
Flower_num,LinearRegression,diff_r1_ND_B3_B4_mean,81.62885295477338
Flower_num,LinearRegression,diff_r1_RENDVI1_mean,81.62885295477338
Flower_num,LinearRegression,ratio_r1_SAVI_mean,62.643928585176695
Flower_num,LinearRegression,0510_r1_ND_B3_B5_mean,45.58305254801468
Flower_num,LinearRegression,0510_r1_RENDVI2_mean,45.583047058690696
Flower_num,LinearRegression,0510_r1_RENDVI1_mean,12.358319022104991
Flower_num,LinearRegression,0510_r1_ND_B3_B4_mean,12.358318853099048
Flower_num,LinearRegression,0510_r1_ND_B2_B3_mean,7.5044766121471875
Flower_num,LinearRegression,0510_r1_RVI_mean,5.043356484474764
Flower_num,LinearRegression,0510_r1_DVI_mean,3.0589792879128623
Flower_num,LinearRegression,ratio_r1_DVI_mean,1.6424313393298189
Flower_num,LinearRegression,rel_r1_DVI_mean,1.642378530493802
Flower_num,LinearRegression,ratio_r0p5_B6_p25,1.5021975068885638
Flower_num,LinearRegression,rel_r0p5_B6_p25,1.5021539817436853
Flower_num,LinearRegression,rel_r0p5_DVI_mean,0.7610012108977952
Flower_num,LinearRegression,ratio_r0p5_DVI_mean,0.7609233313448645
Flower_num,Ridge,0510_r1_ND_B2_B3_mean,2.762236171865339
Flower_num,Ridge,0510_r1_RVI_mean,2.5856871915212674
Flower_num,Ridge,ratio_r0p5_B6_p25,1.6341677594397968
Flower_num,Ridge,rel_r0p5_B6_p25,1.6341677594397466
Flower_num,Ridge,0510_r1_DVI_mean,1.4863369432658342
Flower_num,Ridge,0510_r1_EVI_mean,1.4143228747721155
Flower_num,Ridge,0510_r1_RENDVI1_mean,1.0030940844011527
Flower_num,Ridge,0510_r1_ND_B3_B4_mean,1.0030940844011254
Flower_num,Ridge,0510_r1_ND_B3_B5_mean,0.7559748574372865
Flower_num,Ridge,0510_r1_RENDVI2_mean,0.7559748574372855
Flower_num,Ridge,diff_r1_EVI_mean,0.6333068108737849
Flower_num,Ridge,rel_r1_DVI_mean,0.6272874655918887
Flower_num,Ridge,ratio_r1_DVI_mean,0.6272874655918748
Flower_num,Ridge,0510_r1_SAVI_mean,0.46799568744661446
Flower_num,Ridge,0510_r1_ND_B3_B6_mean,0.46793762794602595
Flower_num,Ridge,0510_r1_NDVI_mean,0.46793762794602556
Flower_num,Ridge,diff_r1_ND_B3_B4_mean,0.46097147177499137
Flower_num,Ridge,diff_r1_RENDVI1_mean,0.46097147177499137
Flower_num,Ridge,rel_r1_EVI_mean,0.38545074395242307
Flower_num,Ridge,ratio_r1_EVI_mean,0.38545074395237167
Flower_num,Ridge,ratio_r1_SAVI_mean,0.3164015635969782
Flower_num,Ridge,rel_r0p5_DVI_mean,0.28864677317343296
Flower_num,Ridge,ratio_r0p5_DVI_mean,0.28864677317336057
Flower_num,Ridge,rel_r1_RENDVI1_mean,0.2540548710003638
Flower_num,Ridge,ratio_r1_RENDVI1_mean,0.2540548710003263
Flower_num,Lasso,0510_r1_RVI_mean,6.7496334649128995
Flower_num,Lasso,0510_r1_EVI_mean,6.187412010368293
Flower_num,Lasso,0510_r1_ND_B2_B3_mean,4.984427213043754
Flower_num,Lasso,rel_r0p5_B6_p25,3.1888218952195593
Flower_num,Lasso,ratio_r1_DVI_mean,0.9030461831692391
Flower_num,Lasso,0510_r1_SAVI_mean,0.7696847355023755
Flower_num,Lasso,ratio_r0p5_DVI_mean,0.6740654314891776
Flower_num,Lasso,0510_r1_ND_B3_B5_mean,0.4214525969670176
Flower_num,Lasso,diff_r1_ND_B3_B4_mean,0.40442784387256403
Flower_num,Lasso,0510_r1_DVI_mean,0.3388837281945578
Flower_num,Lasso,rel_r1_DVI_mean,2.8721133215833215e-14
Flower_num,Lasso,ratio_r1_EVI_mean,0.0
Flower_num,Lasso,rel_r1_EVI_mean,0.0
Flower_num,Lasso,diff_r1_EVI_mean,0.0
Flower_num,Lasso,0510_r1_RENDVI2_mean,0.0
Flower_num,Lasso,0510_r1_ND_B3_B6_mean,0.0
Flower_num,Lasso,0510_r1_NDVI_mean,0.0
Flower_num,Lasso,0510_r1_ND_B3_B4_mean,0.0
Flower_num,Lasso,0510_r1_RENDVI1_mean,0.0
Flower_num,Lasso,rel_r0p5_DVI_mean,0.0
Flower_num,Lasso,rel_r1_RENDVI1_mean,0.0
Flower_num,Lasso,ratio_r1_RENDVI1_mean,0.0
Flower_num,Lasso,diff_r1_RENDVI1_mean,0.0
Flower_num,Lasso,ratio_r0p5_B6_p25,0.0
Flower_num,Lasso,ratio_r1_SAVI_mean,0.0
Flower_num,ElasticNet,0510_r1_RVI_mean,4.254677789457294
Flower_num,ElasticNet,0510_r1_ND_B2_B3_mean,3.7679262863145
Flower_num,ElasticNet,0510_r1_EVI_mean,3.26102712435105
Flower_num,ElasticNet,rel_r0p5_B6_p25,1.691780570541221
Flower_num,ElasticNet,ratio_r0p5_B6_p25,1.6917310077381864
Flower_num,ElasticNet,0510_r1_DVI_mean,1.2599482187152014
Flower_num,ElasticNet,0510_r1_RENDVI2_mean,1.0765373043304707
Flower_num,ElasticNet,0510_r1_ND_B3_B5_mean,1.0716124397569944
Flower_num,ElasticNet,diff_r1_EVI_mean,0.7261606179670365
Flower_num,ElasticNet,rel_r1_DVI_mean,0.6434477707465861
Flower_num,ElasticNet,ratio_r1_DVI_mean,0.6429504645772692
Flower_num,ElasticNet,0510_r1_SAVI_mean,0.630645675583944
Flower_num,ElasticNet,0510_r1_NDVI_mean,0.6291515644070631
Flower_num,ElasticNet,0510_r1_ND_B3_B6_mean,0.626430379750018
Flower_num,ElasticNet,ratio_r1_SAVI_mean,0.5142056713961117
Flower_num,ElasticNet,0510_r1_RENDVI1_mean,0.4884260503869681
Flower_num,ElasticNet,0510_r1_ND_B3_B4_mean,0.4844133126265027
Flower_num,ElasticNet,ratio_r0p5_DVI_mean,0.3980106370420584
Flower_num,ElasticNet,rel_r0p5_DVI_mean,0.3977948685357931
Flower_num,ElasticNet,diff_r1_RENDVI1_mean,0.22221487732354256
Flower_num,ElasticNet,diff_r1_ND_B3_B4_mean,0.22109377450628573
Flower_num,ElasticNet,ratio_r1_EVI_mean,0.0015962911283175295
Flower_num,ElasticNet,rel_r1_EVI_mean,0.0007657759073605136
Flower_num,ElasticNet,rel_r1_RENDVI1_mean,0.0
Flower_num,ElasticNet,ratio_r1_RENDVI1_mean,0.0
Flower_num,PLSRegression,0510_r1_RVI_mean,6.808581825333098
Flower_num,PLSRegression,0510_r1_ND_B2_B3_mean,4.833159307135392
Flower_num,PLSRegression,0510_r1_EVI_mean,4.111428511766768
Flower_num,PLSRegression,0510_r1_ND_B3_B5_mean,2.9145870092236206
Flower_num,PLSRegression,0510_r1_RENDVI2_mean,2.9145870092236206
Flower_num,PLSRegression,rel_r0p5_B6_p25,1.8860503542288771
Flower_num,PLSRegression,ratio_r0p5_B6_p25,1.8860503542288107
Flower_num,PLSRegression,ratio_r1_SAVI_mean,1.7699786178158363
Flower_num,PLSRegression,diff_r1_EVI_mean,1.172531507846821
Flower_num,PLSRegression,ratio_r0p5_DVI_mean,1.0620942017458488
Flower_num,PLSRegression,rel_r0p5_DVI_mean,1.0620942017458128
Flower_num,PLSRegression,ratio_r1_RENDVI1_mean,1.0199193466802692
Flower_num,PLSRegression,rel_r1_RENDVI1_mean,1.019919346680263
Flower_num,PLSRegression,0510_r1_DVI_mean,0.9142064718603268
Flower_num,PLSRegression,0510_r1_SAVI_mean,0.7943182964765869
Flower_num,PLSRegression,0510_r1_ND_B3_B6_mean,0.7942558797411562
Flower_num,PLSRegression,0510_r1_NDVI_mean,0.7942558797411562
Flower_num,PLSRegression,rel_r1_EVI_mean,0.6085495542033348
Flower_num,PLSRegression,ratio_r1_EVI_mean,0.6085495542032759
Flower_num,PLSRegression,diff_r1_ND_B3_B4_mean,0.3509717180920855
Flower_num,PLSRegression,diff_r1_RENDVI1_mean,0.3509717180920855
Flower_num,PLSRegression,0510_r1_ND_B3_B4_mean,0.2607109247781635
Flower_num,PLSRegression,0510_r1_RENDVI1_mean,0.2607109247781635
Flower_num,PLSRegression,rel_r1_DVI_mean,0.1534310274807123
Flower_num,PLSRegression,ratio_r1_DVI_mean,0.15343102748069876
Flower_num,RandomForest,ratio_r0p5_B6_p25,0.10124026970496593
Flower_num,RandomForest,rel_r0p5_B6_p25,0.0986313199404439
Flower_num,RandomForest,ratio_r1_DVI_mean,0.07806211390865653
Flower_num,RandomForest,rel_r0p5_DVI_mean,0.06925790157350635
Flower_num,RandomForest,rel_r1_EVI_mean,0.06373122822383605
Flower_num,RandomForest,0510_r1_ND_B2_B3_mean,0.05946325550194367
Flower_num,RandomForest,ratio_r0p5_DVI_mean,0.05617973542867676
Flower_num,RandomForest,rel_r1_DVI_mean,0.05382866640676761
Flower_num,RandomForest,ratio_r1_EVI_mean,0.051909124599969825
Flower_num,RandomForest,diff_r1_EVI_mean,0.05179972723153805
Flower_num,RandomForest,0510_r1_RENDVI1_mean,0.05001007133840129
Flower_num,RandomForest,0510_r1_ND_B3_B4_mean,0.0322480223687837
Flower_num,RandomForest,0510_r1_RENDVI2_mean,0.025064728748378576
Flower_num,RandomForest,0510_r1_EVI_mean,0.0235732323034454
Flower_num,RandomForest,0510_r1_ND_B3_B6_mean,0.022107238909011433
Flower_num,RandomForest,rel_r1_RENDVI1_mean,0.021462282359952838
Flower_num,RandomForest,ratio_r1_RENDVI1_mean,0.020042889204621474
Flower_num,RandomForest,0510_r1_ND_B3_B5_mean,0.01929648036999164
Flower_num,RandomForest,diff_r1_RENDVI1_mean,0.019063606882637273
Flower_num,RandomForest,diff_r1_ND_B3_B4_mean,0.018671237435573657
Flower_num,RandomForest,0510_r1_SAVI_mean,0.016535581034062982
Flower_num,RandomForest,0510_r1_NDVI_mean,0.015536188624108922
Flower_num,RandomForest,0510_r1_DVI_mean,0.014076806434276773
Flower_num,RandomForest,0510_r1_RVI_mean,0.01099647342465112
Flower_num,RandomForest,ratio_r1_SAVI_mean,0.0072118180417982515
Flower_rat,LinearRegression,0510_r1_SAVI_mean,1239817.2099902201
Flower_rat,LinearRegression,0510_r1_ND_B3_B6_mean,619847.9195222242
Flower_rat,LinearRegression,0510_r1_NDVI_mean,619847.9194970244
Flower_rat,LinearRegression,diff_r1_EVI_mean,780.404186426255
Flower_rat,LinearRegression,rel_r1_EVI_mean,557.8828858635693
Flower_rat,LinearRegression,ratio_r1_EVI_mean,557.882668773685
Flower_rat,LinearRegression,0510_r1_EVI_mean,370.03544399602373
Flower_rat,LinearRegression,rel_r1_RENDVI1_mean,312.45529813591673
Flower_rat,LinearRegression,ratio_r1_RENDVI1_mean,312.4552587539721
Flower_rat,LinearRegression,diff_r1_ND_B3_B4_mean,272.1001077542755
Flower_rat,LinearRegression,diff_r1_RENDVI1_mean,272.1001077542755
Flower_rat,LinearRegression,ratio_r1_SAVI_mean,208.82481641211692
Flower_rat,LinearRegression,0510_r1_RENDVI2_mean,151.95034051746967
Flower_rat,LinearRegression,0510_r1_ND_B3_B5_mean,151.95033721663103
Flower_rat,LinearRegression,0510_r1_ND_B3_B4_mean,41.19254439937332
Flower_rat,LinearRegression,0510_r1_RENDVI1_mean,41.19254368464145
Flower_rat,LinearRegression,0510_r1_ND_B2_B3_mean,25.015569376865372
Flower_rat,LinearRegression,0510_r1_RVI_mean,16.81041234239731
Flower_rat,LinearRegression,0510_r1_DVI_mean,10.207725805030336
Flower_rat,LinearRegression,ratio_r1_DVI_mean,5.4757455835046525
Flower_rat,LinearRegression,rel_r1_DVI_mean,5.475543567796441
Flower_rat,LinearRegression,ratio_r0p5_B6_p25,5.00766693488174
Flower_rat,LinearRegression,rel_r0p5_B6_p25,5.007528485965636
Flower_rat,LinearRegression,rel_r0p5_DVI_mean,2.53600872404935
Flower_rat,LinearRegression,ratio_r0p5_DVI_mean,2.5357664948106304
Flower_rat,Ridge,0510_r1_ND_B2_B3_mean,9.2080985673527
Flower_rat,Ridge,0510_r1_RVI_mean,8.61922899932219
Flower_rat,Ridge,ratio_r0p5_B6_p25,5.447578555260832
Flower_rat,Ridge,rel_r0p5_B6_p25,5.44757855526072
Flower_rat,Ridge,0510_r1_DVI_mean,4.954061197052839
