target,model,feature,importance
Flower_num,LinearRegression,diff_r0p172_SAVI_median,154553.11971986474
Flower_num,LinearRegression,diff_r0p172_ND_B3_B6_median,77193.27090414402
Flower_num,LinearRegression,diff_r0p172_NDVI_median,77193.27090390709
Flower_num,LinearRegression,ratio_r0p172_RENDVI2_median,340.2160874753953
Flower_num,LinearRegression,rel_r0p172_RENDVI2_median,340.2160818830409
Flower_num,LinearRegression,diff_r0p172_ND_B3_B5_median,320.7080759530728
Flower_num,LinearRegression,diff_r0p172_RENDVI2_median,320.7080758632576
Flower_num,LinearRegression,0510_r0p172_EVI_median,154.0830594325372
Flower_num,LinearRegression,ratio_r0p172_SAVI_median,145.28417066313736
Flower_num,LinearRegression,diff_r0p172_DVI_mean,100.99552200026785
Flower_num,LinearRegression,diff_r0p172_DVI_median,70.5697002732495
Flower_num,LinearRegression,0510_r0p172_ND_B1_B3_median,53.428481761119144
Flower_num,LinearRegression,ratio_r0p172_DVI_mean,49.889038356412776
Flower_num,LinearRegression,rel_r0p172_DVI_mean,49.8890344516679
Flower_num,LinearRegression,ratio_r0p172_DVI_median,32.48591099256791
Flower_num,LinearRegression,rel_r0p172_DVI_median,32.48590946968804
Flower_num,LinearRegression,ratio_r0p172_EVI_median,25.448689000942057
Flower_num,LinearRegression,rel_r0p172_EVI_median,25.448687648338797
Flower_num,LinearRegression,0510_r0p172_ND_B2_B3_mean,6.193395680661882
Flower_num,LinearRegression,0510_r0p172_ND_B2_B3_median,5.606077011620345
Flower_num,LinearRegression,rel_r0p172_RENDVI1_median,4.748761005896962
Flower_num,LinearRegression,ratio_r0p172_RENDVI1_median,4.748757308817282
Flower_num,LinearRegression,diff_r0p172_ND_B3_B4_median,4.505309533073486
Flower_num,LinearRegression,diff_r0p172_RENDVI1_median,4.505309533073486
Flower_num,LinearRegression,0510_r0p172_ND_B1_B3_mean,2.0710025037114086
Flower_num,Ridge,0510_r0p172_ND_B1_B3_median,3.506580195536047
Flower_num,Ridge,diff_r0p172_DVI_mean,1.8210324220180756
Flower_num,Ridge,0510_r0p172_ND_B2_B3_mean,1.2710492226343593
Flower_num,Ridge,diff_r0p172_ND_B3_B4_median,1.2066476407041158
Flower_num,Ridge,diff_r0p172_RENDVI1_median,1.2066476407041138
Flower_num,Ridge,diff_r0p172_DVI_median,1.19887429943151
Flower_num,Ridge,0510_r0p172_ND_B1_B3_mean,0.9395761856936362
Flower_num,Ridge,ratio_r0p172_EVI_median,0.7863171151121409
Flower_num,Ridge,rel_r0p172_EVI_median,0.7863171151121229
Flower_num,Ridge,ratio_r0p172_RENDVI2_median,0.5136792075641969
Flower_num,Ridge,rel_r0p172_RENDVI2_median,0.5136792075641791
Flower_num,Ridge,diff_r0p172_ND_B3_B6_median,0.43354829135889766
Flower_num,Ridge,diff_r0p172_NDVI_median,0.43354829135889467
Flower_num,Ridge,diff_r0p172_SAVI_median,0.43330083592778557
Flower_num,Ridge,0510_r0p172_ND_B2_B3_median,0.33787289921573943
Flower_num,Ridge,diff_r0p172_ND_B3_B5_median,0.3080923484241447
Flower_num,Ridge,diff_r0p172_RENDVI2_median,0.308092348424144
Flower_num,Ridge,ratio_r0p172_SAVI_median,0.2897060740121803
Flower_num,Ridge,rel_r0p172_RENDVI1_median,0.26070651858527205
Flower_num,Ridge,ratio_r0p172_RENDVI1_median,0.2607065185852702
Flower_num,Ridge,0510_r0p172_EVI_median,0.20551550234324542
Flower_num,Ridge,rel_r0p172_DVI_mean,0.11076171049256886
Flower_num,Ridge,ratio_r0p172_DVI_mean,0.11076171049253204
Flower_num,Ridge,ratio_r0p172_DVI_median,0.03220150671138479
Flower_num,Ridge,rel_r0p172_DVI_median,0.0322015067113801
Flower_num,Lasso,0510_r0p172_ND_B1_B3_median,9.39637857490767
Flower_num,Lasso,0510_r0p172_ND_B1_B3_mean,6.331065799380162
Flower_num,Lasso,0510_r0p172_ND_B2_B3_mean,6.305970834148091
Flower_num,Lasso,diff_r0p172_ND_B3_B4_median,3.508776107558998
Flower_num,Lasso,0510_r0p172_EVI_median,2.993580125641638
Flower_num,Lasso,0510_r0p172_ND_B2_B3_median,2.962590026044481
Flower_num,Lasso,ratio_r0p172_EVI_median,1.8193756760063389
Flower_num,Lasso,rel_r0p172_DVI_median,1.4622446871575965
Flower_num,Lasso,diff_r0p172_DVI_median,1.2714092168425415
Flower_num,Lasso,rel_r0p172_RENDVI2_median,1.0312787294202959
Flower_num,Lasso,diff_r0p172_RENDVI1_median,1.031551948237779e-12
Flower_num,Lasso,ratio_r0p172_RENDVI2_median,5.806701920643278e-13
Flower_num,Lasso,rel_r0p172_EVI_median,3.801605495048287e-13
Flower_num,Lasso,diff_r0p172_DVI_mean,0.0
Flower_num,Lasso,ratio_r0p172_DVI_median,0.0
Flower_num,Lasso,rel_r0p172_RENDVI1_median,0.0
Flower_num,Lasso,ratio_r0p172_RENDVI1_median,0.0
Flower_num,Lasso,ratio_r0p172_DVI_mean,0.0
Flower_num,Lasso,rel_r0p172_DVI_mean,0.0
Flower_num,Lasso,diff_r0p172_ND_B3_B5_median,0.0
Flower_num,Lasso,diff_r0p172_RENDVI2_median,0.0
Flower_num,Lasso,diff_r0p172_SAVI_median,0.0
Flower_num,Lasso,diff_r0p172_ND_B3_B6_median,0.0
Flower_num,Lasso,diff_r0p172_NDVI_median,0.0
Flower_num,Lasso,ratio_r0p172_SAVI_median,0.0
Flower_num,ElasticNet,0510_r0p172_ND_B1_B3_median,5.150700690622031
Flower_num,ElasticNet,0510_r0p172_ND_B1_B3_mean,2.1440208565681975
Flower_num,ElasticNet,0510_r0p172_ND_B2_B3_mean,2.121941941407272
Flower_num,ElasticNet,diff_r0p172_DVI_mean,1.9013800636742857
Flower_num,ElasticNet,diff_r0p172_RENDVI1_median,1.5026576776614302
Flower_num,ElasticNet,diff_r0p172_ND_B3_B4_median,1.500890187046828
Flower_num,ElasticNet,diff_r0p172_DVI_median,1.1114769233807078
Flower_num,ElasticNet,0510_r0p172_EVI_median,1.0306194069355454
Flower_num,ElasticNet,rel_r0p172_EVI_median,0.7249503901222012
Flower_num,ElasticNet,ratio_r0p172_EVI_median,0.7155716580941901
Flower_num,ElasticNet,ratio_r0p172_RENDVI2_median,0.42014890139092725
Flower_num,ElasticNet,rel_r0p172_RENDVI2_median,0.415967183366501
Flower_num,ElasticNet,diff_r0p172_NDVI_median,0.20051396041737266
Flower_num,ElasticNet,diff_r0p172_ND_B3_B6_median,0.19666923161613725
Flower_num,ElasticNet,diff_r0p172_SAVI_median,0.18811465752080891
Flower_num,ElasticNet,0510_r0p172_ND_B2_B3_median,0.14249934341353163
Flower_num,ElasticNet,ratio_r0p172_DVI_mean,0.12019418670454406
Flower_num,ElasticNet,rel_r0p172_DVI_mean,0.11791035512723463
Flower_num,ElasticNet,rel_r0p172_DVI_median,0.0
Flower_num,ElasticNet,ratio_r0p172_DVI_median,0.0
Flower_num,ElasticNet,rel_r0p172_RENDVI1_median,0.0
Flower_num,ElasticNet,ratio_r0p172_RENDVI1_median,0.0
Flower_num,ElasticNet,diff_r0p172_ND_B3_B5_median,0.0
Flower_num,ElasticNet,diff_r0p172_RENDVI2_median,0.0
Flower_num,ElasticNet,ratio_r0p172_SAVI_median,0.0
Flower_num,PLSRegression,0510_r0p172_ND_B1_B3_median,4.76972220087664
Flower_num,PLSRegression,diff_r0p172_DVI_mean,2.411023782312682
Flower_num,PLSRegression,diff_r0p172_DVI_median,1.6073539959815741
Flower_num,PLSRegression,diff_r0p172_ND_B3_B4_median,1.1007731711568567
Flower_num,PLSRegression,diff_r0p172_RENDVI1_median,1.1007731711568567
Flower_num,PLSRegression,0510_r0p172_ND_B2_B3_median,0.9393927646744452
Flower_num,PLSRegression,0510_r0p172_ND_B1_B3_mean,0.9204876467298514
Flower_num,PLSRegression,ratio_r0p172_SAVI_median,0.7568264548811672
Flower_num,PLSRegression,diff_r0p172_ND_B3_B6_median,0.7406137573500825
Flower_num,PLSRegression,diff_r0p172_NDVI_median,0.7406137573500825
Flower_num,PLSRegression,diff_r0p172_SAVI_median,0.740407687578862
Flower_num,PLSRegression,rel_r0p172_EVI_median,0.7299854187054456
Flower_num,PLSRegression,ratio_r0p172_EVI_median,0.7299854187054424
Flower_num,PLSRegression,ratio_r0p172_DVI_median,0.5711922408280549
Flower_num,PLSRegression,rel_r0p172_DVI_median,0.571192240828053
Flower_num,PLSRegression,0510_r0p172_ND_B2_B3_mean,0.5167669629113935
Flower_num,PLSRegression,ratio_r0p172_RENDVI2_median,0.40965910086059004
Flower_num,PLSRegression,rel_r0p172_RENDVI2_median,0.409659100860583
Flower_num,PLSRegression,diff_r0p172_ND_B3_B5_median,0.36908069189746306
Flower_num,PLSRegression,diff_r0p172_RENDVI2_median,0.36908069189746306
Flower_num,PLSRegression,rel_r0p172_RENDVI1_median,0.35683381028759115
Flower_num,PLSRegression,ratio_r0p172_RENDVI1_median,0.3568338102875887
Flower_num,PLSRegression,0510_r0p172_EVI_median,0.3114691488614444
Flower_num,PLSRegression,ratio_r0p172_DVI_mean,0.10746798556483905
Flower_num,PLSRegression,rel_r0p172_DVI_mean,0.10746798556483796
Flower_num,RandomForest,diff_r0p172_DVI_mean,0.09507944100738652
Flower_num,RandomForest,diff_r0p172_DVI_median,0.07404330616700719
Flower_num,RandomForest,0510_r0p172_ND_B2_B3_median,0.07195362894724555
Flower_num,RandomForest,rel_r0p172_DVI_mean,0.06313753851580525
Flower_num,RandomForest,ratio_r0p172_DVI_median,0.055773055508015534
Flower_num,RandomForest,rel_r0p172_DVI_median,0.05520893463711985
Flower_num,RandomForest,rel_r0p172_RENDVI1_median,0.05417857606339809
Flower_num,RandomForest,diff_r0p172_RENDVI1_median,0.05403501969486739
Flower_num,RandomForest,ratio_r0p172_DVI_mean,0.04954119385419481
Flower_num,RandomForest,0510_r0p172_ND_B1_B3_median,0.049218211149661524
Flower_num,RandomForest,0510_r0p172_ND_B2_B3_mean,0.0478708484919558
Flower_num,RandomForest,diff_r0p172_ND_B3_B4_median,0.04467993322563032
Flower_num,RandomForest,ratio_r0p172_RENDVI1_median,0.04270666600385354
Flower_num,RandomForest,ratio_r0p172_SAVI_median,0.03441981884308363
Flower_num,RandomForest,rel_r0p172_EVI_median,0.03441754721781322
Flower_num,RandomForest,0510_r0p172_ND_B1_B3_mean,0.026924204221167872
Flower_num,RandomForest,diff_r0p172_SAVI_median,0.024953331432515772
