target,model,feature,importance
Flower_num,LinearRegression,0510_rpt_ND_B1_B5_mean,19.357877962587132
Flower_num,LinearRegression,0510_rpt_ND_B1_B5_median,19.357877962587132
Flower_num,LinearRegression,rel_rpt_GNDVI_median,19.101766301640552
Flower_num,LinearRegression,rel_rpt_GNDVI_mean,19.10176630164054
Flower_num,LinearRegression,ratio_rpt_GNDVI_mean,19.101766301640485
Flower_num,LinearRegression,ratio_rpt_GNDVI_median,19.101766301640474
Flower_num,LinearRegression,0510_rpt_ND_B1_B6_mean,18.889489384814368
Flower_num,LinearRegression,0510_rpt_ND_B1_B6_median,18.889489384814354
Flower_num,LinearRegression,diff_rpt_ND_B1_B6_median,10.701274235739916
Flower_num,LinearRegression,diff_rpt_ND_B1_B6_mean,10.701274235739833
Flower_num,LinearRegression,diff_rpt_ND_B2_B6_mean,10.147451849240035
Flower_num,LinearRegression,diff_rpt_ND_B2_B6_median,10.147451849240035
Flower_num,LinearRegression,diff_rpt_GNDVI_mean,10.147451849240035
Flower_num,LinearRegression,diff_rpt_GNDVI_median,10.147451849240035
Flower_num,LinearRegression,diff_rpt_ND_B1_B5_mean,8.85481084581077
Flower_num,LinearRegression,diff_rpt_ND_B1_B5_median,8.854810845810677
Flower_num,LinearRegression,ratio_rpt_DVI_mean,7.1248077200583015
Flower_num,LinearRegression,diff_rpt_ND_B2_B5_mean,6.9787240193927484
Flower_num,LinearRegression,diff_rpt_ND_B2_B5_median,6.9787240193927484
Flower_num,LinearRegression,0510_rpt_ND_B2_B6_mean,6.195078661194961
Flower_num,LinearRegression,0510_rpt_ND_B2_B6_median,6.195078661194961
Flower_num,LinearRegression,0510_rpt_GNDVI_median,6.195078661194958
Flower_num,LinearRegression,0510_rpt_GNDVI_mean,6.195078661194957
Flower_num,LinearRegression,diff_rpt_DVI_mean,5.491695128388556
Flower_num,LinearRegression,diff_rpt_DVI_median,5.491695128388556
Flower_num,Ridge,0510_rpt_ND_B1_B5_median,2.126488930468129
Flower_num,Ridge,0510_rpt_ND_B1_B5_mean,2.1264889304681236
Flower_num,Ridge,diff_rpt_DVI_mean,1.546558519677431
Flower_num,Ridge,diff_rpt_DVI_median,1.546558519677427
Flower_num,Ridge,0510_rpt_GNDVI_mean,0.8825280276322122
Flower_num,Ridge,0510_rpt_ND_B2_B6_mean,0.8825280276321923
Flower_num,Ridge,0510_rpt_GNDVI_median,0.8825280276321836
Flower_num,Ridge,0510_rpt_ND_B2_B6_median,0.8825280276321804
Flower_num,Ridge,0510_rpt_ND_B1_B6_mean,0.7585481585754016
Flower_num,Ridge,0510_rpt_ND_B1_B6_median,0.7585481585754011
Flower_num,Ridge,ratio_rpt_DVI_mean,0.609316601317995
Flower_num,Ridge,ratio_rpt_GNDVI_mean,0.5843758096446148
