sample_id,x,y,Flower_num,Flower_rat,FHB_num,FHB_rate,FHB_index
1,302396.7375411658,3399717.598090765,25.0,83.33,2.0,4.0,0.025
2,302398.0101895445,3399725.5131170116,30.0,100.0,,,
3,302403.2165384987,3399738.1918875086,30.0,100.0,0.0,,
4,302409.23317553196,3399736.525009175,30.0,100.0,0.0,0.0,0.0
5,302410.8783579892,3399742.6640162445,30.0,100.0,0.0,0.0,0.0
6,302411.1087664363,3399745.335431309,16.0,53.33,0.0,0.0,0.0
7,302411.7040801269,3399746.711267394,11.0,36.67,0.0,0.0,0.0
8,302412.4978317144,3399749.7275234265,27.0,90.0,0.0,0.0,0.0
9,302412.9878189794,3399752.9752241927,26.0,86.67,0.0,0.0,0.0
10,302413.6863203764,3399755.959730162,16.0,53.33,0.0,0.0,0.0
11,302413.0724858154,3399758.774902459,29.0,96.67,3.0,6.0,0.045
12,302416.1254308109,3399766.0682448247,30.0,100.0,3.0,6.0,0.06
13,302424.01796742977,3399763.1273951917,23.0,76.67,1.0,2.0,0.02
14,302424.03913413873,3399759.5925547886,6.0,20.0,0.0,0.0,0.0
15,302423.5470081547,3399757.362112827,1.0,3.33,,,
16,302421.8536714346,3399755.245441927,18.0,60.0,0.0,0.0,0.0
17,302421.033461461,3399750.8464706275,15.0,50.0,0.0,0.0,0.0
18,302421.11812829704,3399747.417463769,23.0,76.67,0.0,0.0,0.0
19,302419.234291196,3399744.792791853,27.0,90.0,0.0,0.0,0.0
20,302419.8314569732,3399740.4717846033,23.0,76.67,0.0,0.0,0.0
21,302417.8999947769,3399738.090529841,30.0,100.0,,,
22,302418.72020475066,3399735.894483782,1.0,3.33,0.0,0.0,0.0
23,302416.9739512581,3399733.671979337,26.0,86.67,0.0,0.0,0.0
24,302415.80338815314,3399727.761175847,21.0,70.0,0.0,0.0,0.0
25,302415.6419919966,3399721.3690502183,4.0,13.33,0.0,0.0,0.0
26,302414.9011571816,3399718.3527941857,17.0,56.67,0.0,0.0,0.0
27,302413.73698818655,3399713.325700798,26.0,86.67,,,
28,302411.35573342396,3399708.4573577275,28.0,93.33,,,
29,302423.18704180926,3399711.851086738,14.0,46.67,0.0,0.0,0.0
30,302423.774417984,3399714.9943430247,26.0,86.67,1.0,2.0,0.01
31,302424.5205444763,3399717.6295982953,10.0,33.33,,,
32,302425.2269833888,3399720.86228393,16.0,53.33,,,
33,302425.1079206507,3399730.1888650837,29.0,96.67,0.0,0.0,0.0
34,302435.77285517537,3399768.828030909,,,2.0,2.78,0.01
35,302432.9153494602,3399763.8009375213,,,1.0,1.47,0.01
36,302432.6507655977,3399759.3030118584,,,1.0,1.64,0.01
37,302431.4336798301,3399756.180922281,,,1.0,1.75,0.01
38,302431.4865966026,3399753.058832703,,,4.0,6.06,0.04
39,302430.16367729,3399751.894663708,,,2.0,2.63,0.01
40,302430.26951083506,3399750.4659108506,,,3.0,6.0,0.05
41,302430.00492697256,3399746.920487093,,,6.0,11.76,0.07
42,302428.9465915225,3399744.5921491026,,,3.0,5.36,0.03
43,302428.62909088744,3399742.7929788376,,,1.0,1.52,0.0
44,302428.0298084386,3399739.4142429125,,,9.0,13.24,0.08
45,302427.15668169234,3399733.5404811646,,,1.0,1.28,0.0
46,302426.1644922079,3399730.603600291,,,12.0,21.43,0.07
47,302424.3547385883,3399724.7417448172,,,0.0,0.0,0.0
48,302423.7814735532,3399715.939921656,,,3.0,6.12,0.02
49,302422.19397037814,3399715.4636707036,,,10.0,21.28,0.11
50,302423.3515247766,3399712.573092005,,,0.0,0.0,0.0
51,302422.2270433609,3399709.133501793,,,11.0,16.18,0.1
52,302421.5986566874,3399707.777509497,,,0.0,0.0,0.0
53,302419.9444563304,3399704.3186267107,,,5.0,9.09,0.08
54,302427.4608428913,3399688.6706961077,,,1.0,2.13,0.02
55,302426.27021551,3399685.8594925683,,,2.0,3.45,0.03
56,302427.09704008035,3399683.1144349948,,,1.0,2.44,0.02
57,302426.0056316475,3399681.1962019918,,,1.0,1.92,0.0
58,302425.4433909396,3399679.5756258336,,,2.0,5.88,0.04
59,302425.34417199116,3399675.5076489476,,,1.0,1.96,0.01
60,302424.4181284724,3399672.8287373395,,,0.0,0.0,0.0
61,302423.4590119708,3399670.48055556,,,0.0,0.0,0.0
62,302423.11064321885,3399668.38372845,,,0.0,0.0,0.0
63,302422.7137674251,3399666.47872464,,,0.0,0.0,0.0
64,302399.8685218647,3399704.7460674527,,,7.0,16.67,0.17
65,302397.96351805463,3399705.381068723,,,2.0,3.64,0.04
66,302395.82038876833,3399706.2012786963,,,0.0,0.0,0.0
67,302392.98934143945,3399706.9156551254,,,3.0,5.36,0.06
68,302390.4228779731,3399709.5350353643,,,20.0,37.74,0.38
69,302390.10537733807,3399711.519414333,,,21.0,30.43,0.3
70,302388.9676667293,3399711.625247878,,,13.0,32.5,0.33
