target,model,cv,n,n_features,r2,rmse,mae,pearson_r,spearman_r,features
Flower_num,LinearRegression,LOOCV,33,25,-2.3063465902118443,16.079516109599815,11.763949573957689,-0.008524489536456048,0.027031863522250506,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_num,Ridge,LOOCV,33,25,-0.026612573484966928,8.959877586565437,7.413384193519066,0.2654183651718671,0.4009446589511441,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_num,Lasso,LOOCV,33,25,-0.21834073381583452,9.760749540791496,8.142032434383465,0.14279730509273583,0.2595730497229769,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_num,ElasticNet,LOOCV,33,25,-0.05698830953196343,9.091465157898623,7.550698527092919,0.24223349745206055,0.36551780675738726,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_num,PLSRegression,LOOCV,33,25,-0.1558413618438823,9.50709650811444,7.880964506498515,0.23057703928490328,0.32790825750903874,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_num,RandomForest,LOOCV,33,25,0.009553535935737045,8.800640680554563,7.546666762250095,0.27693242000092544,0.29432830282301325,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean
Flower_rat,LinearRegression,LOOCV,33,25,-2.3065588982504353,53.6020567042551,39.215815538817566,-0.00854035669087447,0.027031863522250506,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean
Flower_rat,Ridge,LOOCV,33,25,-0.02665092427574245,29.867902404824758,24.712827441388466,0.2653702136993196,0.4009446589511441,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean
Flower_rat,Lasso,LOOCV,33,25,-0.4907028673156626,35.99058167713957,29.036055956559107,0.08848305475779172,0.2511780610514705,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean
Flower_rat,ElasticNet,LOOCV,33,25,-0.05360653295366413,30.257465707719838,25.06148539979034,0.24371249566134484,0.35863391604675204,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean
