sample_id,x,y,spatial_group
1,302396.7375411658,3399717.598090765,0
2,302398.0101895445,3399725.513117012,0
3,302403.2165384987,3399738.1918875086,2
4,302409.233175532,3399736.525009175,2
5,302410.8783579892,3399742.6640162445,2
6,302411.1087664363,3399745.335431309,2
7,302411.7040801269,3399746.711267394,2
8,302412.4978317144,3399749.7275234265,2
9,302412.9878189794,3399752.9752241927,1
10,302413.6863203764,3399755.959730162,1
11,302413.0724858154,3399758.774902459,1
12,302416.1254308109,3399766.0682448247,1
13,302424.01796742977,3399763.127395192,1
14,302424.0391341388,3399759.5925547886,1
15,302423.5470081547,3399757.362112827,1
16,302421.8536714346,3399755.245441927,1
17,302421.033461461,3399750.8464706275,1
18,302421.11812829704,3399747.417463769,1
19,302419.234291196,3399744.792791853,2
20,302419.8314569732,3399740.471784604,4
21,302417.8999947769,3399738.090529841,4
22,302418.72020475066,3399735.894483782,4
23,302416.9739512581,3399733.671979337,4
24,302415.80338815314,3399727.761175847,4
25,302415.6419919966,3399721.3690502183,3
26,302414.9011571816,3399718.3527941857,3
27,302413.73698818655,3399713.325700798,3
28,302411.355733424,3399708.4573577275,3
29,302423.18704180926,3399711.851086738,3
30,302423.774417984,3399714.9943430247,3
31,302424.5205444763,3399717.629598296,3
32,302425.2269833888,3399720.86228393,3
33,302425.1079206507,3399730.188865084,4
