target,scale,feature_set,model,fold,test_group,train_n,test_n,input_feature_count,selected_feature_count,selected_features,params
Flower_rat,point,all_features,DummyMean,1,0,31,2,378,0,,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""model"", ""DummyRegressor()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,all_features,DummyMean,2,1,23,10,378,0,,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""model"", ""DummyRegressor()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,all_features,DummyMean,3,2,26,7,378,0,,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""model"", ""DummyRegressor()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,all_features,DummyMean,4,3,25,8,378,0,,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""model"", ""DummyRegressor()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,all_features,DummyMean,5,4,27,6,378,0,,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""model"", ""DummyRegressor()""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0510_single_date,Ridge,1,0,31,2,102,10,0510_rpt_ND_B4_B6_mean;0510_rpt_ND_B4_B6_median;0510_rpt_GNDVI_mean;0510_rpt_NDRE1_mean;0510_rpt_RVI_mean;0510_rpt_CI_RE1_mean;0510_rpt_GNDVI_median;0510_rpt_NDRE1_median;0510_rpt_RVI_median;0510_rpt_CI_RE1_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0510_single_date,Ridge,2,1,23,10,102,10,0510_rpt_ND_B1_B3_mean;0510_rpt_ND_B3_B4_mean;0510_rpt_ND_B1_B3_median;0510_rpt_ND_B3_B4_median;0510_rpt_RENDVI1_mean;0510_rpt_RVI_mean;0510_rpt_EVI_mean;0510_rpt_RENDVI1_median;0510_rpt_RVI_median;0510_rpt_EVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0510_single_date,Ridge,3,2,26,7,102,10,0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B4_B6_mean;0510_rpt_ND_B1_B6_median;0510_rpt_ND_B4_B6_median;0510_rpt_NDRE1_mean;0510_rpt_RVI_mean;0510_rpt_CI_RE1_mean;0510_rpt_NDRE1_median;0510_rpt_RVI_median;0510_rpt_CI_RE1_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0510_single_date,Ridge,4,3,25,8,102,10,0510_rpt_ND_B2_B5_mean;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B5_median;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_RVI_mean;0510_rpt_CI_RE1_mean;0510_rpt_GNDVI_median;0510_rpt_RVI_median;0510_rpt_CI_RE1_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0510_single_date,Ridge,5,4,27,6,102,10,0510_rpt_ND_B4_B5_mean;0510_rpt_ND_B4_B6_mean;0510_rpt_ND_B4_B5_median;0510_rpt_ND_B4_B6_median;0510_rpt_NDRE1_mean;0510_rpt_RVI_mean;0510_rpt_CI_RE1_mean;0510_rpt_NDRE1_median;0510_rpt_RVI_median;0510_rpt_CI_RE1_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0418_single_date,Ridge,1,0,31,2,102,10,0418_rpt_B3_min;0418_rpt_B3_max;0418_rpt_B3_p25;0418_rpt_B3_p75;0418_rpt_ND_B1_B3_mean;0418_rpt_ND_B2_B3_mean;0418_rpt_ND_B1_B3_median;0418_rpt_ND_B2_B3_median;0418_rpt_EVI_mean;0418_rpt_EVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0418_single_date,Ridge,2,1,23,10,102,10,0418_rpt_ND_B3_B6_mean;0418_rpt_ND_B3_B6_median;0418_rpt_NDVI_mean;0418_rpt_RENDVI2_mean;0418_rpt_RVI_mean;0418_rpt_SAVI_mean;0418_rpt_NDVI_median;0418_rpt_RENDVI2_median;0418_rpt_RVI_median;0418_rpt_SAVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0418_single_date,Ridge,3,2,26,7,102,10,0418_rpt_ND_B1_B3_mean;0418_rpt_ND_B5_B6_mean;0418_rpt_ND_B1_B3_median;0418_rpt_ND_B5_B6_median;0418_rpt_NDRE2_mean;0418_rpt_EVI_mean;0418_rpt_CI_RE2_mean;0418_rpt_NDRE2_median;0418_rpt_EVI_median;0418_rpt_CI_RE2_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0418_single_date,Ridge,4,3,25,8,102,10,0418_rpt_ND_B1_B3_mean;0418_rpt_ND_B5_B6_mean;0418_rpt_ND_B1_B3_median;0418_rpt_ND_B5_B6_median;0418_rpt_NDRE2_mean;0418_rpt_EVI_mean;0418_rpt_CI_RE2_mean;0418_rpt_NDRE2_median;0418_rpt_EVI_median;0418_rpt_CI_RE2_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,0418_single_date,Ridge,5,4,27,6,102,10,0418_rpt_B3_min;0418_rpt_B3_max;0418_rpt_B3_p25;0418_rpt_B3_p75;0418_rpt_ND_B1_B3_mean;0418_rpt_ND_B2_B3_mean;0418_rpt_ND_B1_B3_median;0418_rpt_ND_B2_B3_median;0418_rpt_EVI_mean;0418_rpt_EVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,change_only,Ridge,1,0,31,2,174,10,ratio_rpt_NDRE1_mean;rel_rpt_NDRE1_mean;ratio_rpt_RVI_mean;rel_rpt_RVI_mean;rel_rpt_CI_RE1_mean;ratio_rpt_NDRE1_median;rel_rpt_NDRE1_median;ratio_rpt_RVI_median;rel_rpt_RVI_median;rel_rpt_CI_RE1_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
Flower_rat,point,change_only,Ridge,2,1,23,10,174,10,diff_rpt_DVI_mean;ratio_rpt_DVI_mean;rel_rpt_DVI_mean;ratio_rpt_EVI_mean;rel_rpt_EVI_mean;diff_rpt_DVI_median;ratio_rpt_DVI_median;rel_rpt_DVI_median;ratio_rpt_EVI_median;rel_rpt_EVI_median,"{""memory"": null, ""steps"": [[""imputer"", ""SimpleImputer(strategy='median')""], [""selector"", ""SelectKBest(score_func=<function f_regression at 0x78c99b936290>)""], [""scaler"", ""StandardScaler()""], [""model"", ""Ridge(alpha=10.0)""]], ""transform_input"": null, ""verbose"": false}"
