weight_method,neighbor_link_count,isolated_sample_count,scale,variable,n,random_seed,n_permutations,moran_i,expected_i,permutation_p_greater,permutation_p_two_sided_abs
knn4,80,0,observed,Flower_rat,33,20260907,999,0.07178391695302878,-0.03125,0.152,0.319
knn4,80,0,point,oof_prediction,33,20260907,999,0.1100643855845981,-0.03125,0.09,0.176
knn4,80,0,point,oof_residual_observed_minus_predicted,33,20260907,999,0.10603504662367566,-0.03125,0.086,0.161
knn4,80,0,one_sqft,oof_prediction,33,20260907,999,0.17006524139498982,-0.03125,0.037,0.053
knn4,80,0,one_sqft,oof_residual_observed_minus_predicted,33,20260907,999,0.1410698830500362,-0.03125,0.05,0.078
knn4,80,0,r0p3,oof_prediction,33,20260907,999,0.09341335287451394,-0.03125,0.126,0.229
knn4,80,0,r0p3,oof_residual_observed_minus_predicted,33,20260907,999,0.007650243649190027,-0.03125,0.325,0.713
knn4,80,0,r0p5,oof_prediction,33,20260907,999,0.10091014051331869,-0.03125,0.114,0.199
knn4,80,0,r0p5,oof_residual_observed_minus_predicted,33,20260907,999,0.07529900671566798,-0.03125,0.163,0.315
knn4,80,0,r1,oof_prediction,33,20260907,999,0.08402212032274108,-0.03125,0.147,0.26
knn4,80,0,r1,oof_residual_observed_minus_predicted,33,20260907,999,0.07492656327756209,-0.03125,0.151,0.316
distance_band_5m,25,9,observed,Flower_rat,33,20260907,999,-0.03496737315047048,-0.03125,0.476,0.978
distance_band_5m,25,9,point,oof_prediction,33,20260907,999,0.03351318316688896,-0.03125,0.324,0.709
distance_band_5m,25,9,point,oof_residual_observed_minus_predicted,33,20260907,999,0.008173265143530568,-0.03125,0.373,0.842
distance_band_5m,25,9,one_sqft,oof_prediction,33,20260907,999,0.18794205817414605,-0.03125,0.124,0.252
distance_band_5m,25,9,one_sqft,oof_residual_observed_minus_predicted,33,20260907,999,0.021123036138667346,-0.03125,0.361,0.792
distance_band_5m,25,9,r0p3,oof_prediction,33,20260907,999,-0.1917567665509414,-0.03125,0.824,0.361
distance_band_5m,25,9,r0p3,oof_residual_observed_minus_predicted,33,20260907,999,-0.08714318788620712,-0.03125,0.581,0.767
distance_band_5m,25,9,r0p5,oof_prediction,33,20260907,999,-0.1372907252260942,-0.03125,0.716,0.568
distance_band_5m,25,9,r0p5,oof_residual_observed_minus_predicted,33,20260907,999,-0.01879650256504485,-0.03125,0.443,0.947
distance_band_5m,25,9,r1,oof_prediction,33,20260907,999,-0.0708534842581783,-0.03125,0.588,0.83
distance_band_5m,25,9,r1,oof_residual_observed_minus_predicted,33,20260907,999,-0.06088113604615816,-0.03125,0.534,0.865
