样点编号,经度（WGS84）,纬度（WGS84）,扬花穗数（穗）,扬花率（%）
1,120°56′11.29″E,30°42′50.17″N,25,83.33
2,120°56′11.33″E,30°42′50.43″N,30,100.00
3,120°56′11.52″E,30°42′50.85″N,30,100.00
4,120°56′11.75″E,30°42′50.79″N,30,100.00
5,120°56′11.81″E,30°42′50.99″N,30,100.00
6,120°56′11.81″E,30°42′51.08″N,16,53.33
7,120°56′11.83″E,30°42′51.13″N,11,36.67
8,120°56′11.86″E,30°42′51.23″N,27,90.00
9,120°56′11.88″E,30°42′51.33″N,26,86.67
10,120°56′11.90″E,30°42′51.43″N,16,53.33
11,120°56′11.88″E,30°42′51.52″N,29,96.67
12,120°56′11.99″E,30°42′51.76″N,30,100.00
13,120°56′12.29″E,30°42′51.67″N,23,76.67
14,120°56′12.29″E,30°42′51.55″N,6,20.00
15,120°56′12.27″E,30°42′51.48″N,1,3.33
16,120°56′12.21″E,30°42′51.41″N,18,60.00
17,120°56′12.18″E,30°42′51.27″N,15,50.00
18,120°56′12.19″E,30°42′51.16″N,23,76.67
19,120°56′12.12″E,30°42′51.07″N,27,90.00
20,120°56′12.14″E,30°42′50.93″N,23,76.67
21,120°56′12.07″E,30°42′50.85″N,30,100.00
22,120°56′12.11″E,30°42′50.78″N,1,3.33
23,120°56′12.04″E,30°42′50.71″N,26,86.67
24,120°56′12.00″E,30°42′50.51″N,21,70.00
25,120°56′12.00″E,30°42′50.31″N,4,13.33
26,120°56′11.97″E,30°42′50.21″N,17,56.67
27,120°56′11.93″E,30°42′50.04″N,26,86.67
28,120°56′11.85″E,30°42′49.88″N,28,93.33
29,120°56′12.29″E,30°42′50.00″N,14,46.67
30,120°56′12.31″E,30°42′50.10″N,26,86.67
31,120°56′12.34″E,30°42′50.19″N,10,33.33
32,120°56′12.36″E,30°42′50.30″N,16,53.33
33,120°56′12.35″E,30°42′50.60″N,29,96.67
