target,dataset,dataset_name,feature,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r,temporal,scale,feature_type,stat
FHB_index,multi_scale,0.3/0.5/1.0m,diff_r1_CI_RE2_median,62,-0.6129553835717023,1.1862052776710718e-07,-0.539408282162458,6.074984689500411e-06,0.6129553835717023,diff,r1,named_index,median
FHB_index,one_sqft,1平方尺,rel_r0p172_B2_p75,62,0.4797791985013008,7.954241852860319e-05,0.4033551243723376,0.0011512810977802,0.4797791985013008,rel,r0p172,raw_band,p75
FHB_index,point,点采样,diff_rpt_CI_RE2_mean,62,-0.5019572641251252,3.230764484781543e-05,-0.4756079559974059,9.359067540587428e-05,0.5019572641251252,diff,rpt,named_index,mean
FHB_num,multi_scale,0.3/0.5/1.0m,0418_r1_ND_B1_B2_mean,63,0.6283437191510323,3.5225793450373186e-08,0.2820764693539944,0.025105620536012,0.6283437191510323,0418,r1,pairwise_nd,mean
FHB_num,one_sqft,1平方尺,ratio_r0p172_B2_p75,63,0.4633131407245634,0.0001313726717182,0.3987779652353145,0.0012069186747607,0.4633131407245634,ratio,r0p172,raw_band,p75
FHB_num,point,点采样,diff_rpt_CI_RE2_mean,63,-0.4704145026362602,0.0001000819561572,-0.4789547908044989,7.157965761127526e-05,0.4704145026362602,diff,rpt,named_index,mean
FHB_rate,multi_scale,0.3/0.5/1.0m,0418_r1_ND_B1_B2_mean,62,0.6122086852425217,1.2408725726370814e-07,0.2794854976010673,0.0278120209367529,0.6122086852425217,0418,r1,pairwise_nd,mean
FHB_rate,one_sqft,1平方尺,rel_r0p172_B2_p75,62,0.501311273600421,3.319623341127036e-05,0.4479628093476199,0.0002612627334786,0.501311273600421,rel,r0p172,raw_band,p75
FHB_rate,point,点采样,diff_rpt_CI_RE2_mean,62,-0.4632530579749145,0.0001496869609222,-0.4901034676922109,5.269839331841736e-05,0.4632530579749145,diff,rpt,named_index,mean
Flower_num,multi_scale,0.3/0.5/1.0m,0510_r1_ND_B2_B3_mean,33,-0.7416132992408726,7.894312716313138e-07,-0.6419928656874444,5.6446521191823845e-05,0.7416132992408726,0510,r1,pairwise_nd,mean
Flower_num,one_sqft,1平方尺,0510_r0p172_ND_B2_B3_median,33,-0.6586708111663896,3.081388048805021e-05,-0.5264520911132502,0.0016485997005242,0.6586708111663896,0510,r0p172,pairwise_nd,median
Flower_num,point,点采样,diff_rpt_ND_B1_B5_mean,33,0.5992342913721246,0.0002288433703799,0.4582681996240911,0.0073180967125219,0.5992342913721246,diff,rpt,pairwise_nd,mean
Flower_rat,multi_scale,0.3/0.5/1.0m,0510_r1_ND_B2_B3_mean,33,-0.7416132992408726,7.894312716313138e-07,-0.6419658447604749,5.6500263703015625e-05,0.7416132992408726,0510,r1,pairwise_nd,mean
Flower_rat,one_sqft,1平方尺,0510_r0p172_ND_B2_B3_median,33,-0.6586708111663896,3.081388048805021e-05,-0.5264317330462801,0.0016494109081382,0.6586708111663896,0510,r0p172,pairwise_nd,median
Flower_rat,point,点采样,diff_rpt_ND_B1_B5_mean,33,0.5992342913721246,0.0002288433703799,0.4582479182884506,0.0073210262896887,0.5992342913721246,diff,rpt,pairwise_nd,mean
