dataset,dataset_name,target,model,cv,n,n_features,r2,rmse,mae,pearson_r,spearman_r,features
multi_scale,0.3/0.5/1.0m,FHB_index,RandomForest,5-fold,62,25,0.2051978152031454,0.0675332965081017,0.0393760166521053,0.4745527410627642,0.6038200685699083,diff_r1_CI_RE2_median;0418_r1_ND_B1_B4_median;0418_r1_ND_B1_B2_mean;diff_r1_ND_B5_B6_median;diff_r1_NDRE2_median;0418_r1_ND_B3_B4_median;0418_r1_RENDVI1_median;0418_r1_ND_B1_B2_median;0418_r0p5_ND_B1_B4_median;diff_r1_CI_RE2_mean;diff_r1_ND_B5_B6_mean;diff_r1_NDRE2_mean;0418_r1_ND_B2_B3_median;rel_r1_CI_RE2_mean;ratio_r1_CI_RE2_mean;0418_r0p5_ND_B1_B4_mean;ratio_r1_NDRE2_mean;rel_r1_NDRE2_mean;ratio_r1_CI_RE2_median;rel_r1_CI_RE2_median;ratio_r1_NDRE2_median;rel_r1_NDRE2_median;0418_r1_ND_B2_B3_mean;0418_r1_ND_B3_B4_mean;0418_r1_RENDVI1_mean
one_sqft,1平方尺,FHB_index,ElasticNet,5-fold,62,25,0.0630035045191966,0.073325900749319,0.0420408044189045,0.2753200406440845,0.4679760481450005,rel_r0p172_B2_p75;ratio_r0p172_B2_p75;rel_r0p172_B2_mean;ratio_r0p172_B2_mean;rel_r0p172_B4_p75;ratio_r0p172_B4_p75;diff_r0p172_B2_p75;diff_r0p172_ND_B5_B6_mean;diff_r0p172_NDRE2_mean;diff_r0p172_CI_RE2_mean;0418_r0p172_ND_B1_B4_mean;0510_r0p172_B1_mean;diff_r0p172_B2_mean;ratio_r0p172_B2_median;rel_r0p172_B2_median;diff_r0p172_B5_p75;rel_r0p172_B5_p75;ratio_r0p172_B5_p75;0510_r0p172_B1_median;diff_r0p172_B1_p75;diff_r0p172_CI_RE2_median;rel_r0p172_B1_p75;ratio_r0p172_B1_p75;diff_r0p172_B1_mean;0510_r0p172_B1_max
point,点采样,FHB_index,Ridge,5-fold,62,25,0.2700814345472726,0.0647180805763155,0.0396376943937766,0.5255806663548707,0.5582243370565292,diff_rpt_CI_RE2_mean;diff_rpt_CI_RE2_median;diff_rpt_ND_B5_B6_mean;diff_rpt_ND_B5_B6_median;diff_rpt_NDRE2_mean;diff_rpt_NDRE2_median;0418_rpt_CI_RE2_mean;0418_rpt_CI_RE2_median;0418_rpt_ND_B5_B6_mean;0418_rpt_ND_B5_B6_median;0418_rpt_NDRE2_mean;0418_rpt_NDRE2_median;rel_rpt_CI_RE2_mean;rel_rpt_CI_RE2_median;ratio_rpt_CI_RE2_mean;ratio_rpt_CI_RE2_median;ratio_rpt_NDRE2_mean;ratio_rpt_NDRE2_median;rel_rpt_NDRE2_mean;rel_rpt_NDRE2_median;ratio_rpt_B2_mean;rel_rpt_B2_mean;ratio_rpt_B2_median;rel_rpt_B2_median;ratio_rpt_B2_p25
multi_scale,0.3/0.5/1.0m,FHB_num,RandomForest,5-fold,63,25,-0.0189711046745564,4.531726200304844,2.8623826391127976,0.2716042995626208,0.5613880211264621,0418_r1_ND_B1_B2_mean;0418_r1_ND_B1_B4_median;diff_r1_CI_RE2_median;0418_r1_ND_B1_B2_median;diff_r1_ND_B5_B6_median;diff_r1_NDRE2_median;diff_r1_ND_B5_B6_mean;diff_r1_NDRE2_mean;diff_r1_CI_RE2_mean;ratio_r1_CI_RE2_mean;rel_r1_CI_RE2_mean;0418_r1_ND_B3_B4_median;0418_r1_RENDVI1_median;ratio_r1_NDRE2_mean;rel_r1_NDRE2_mean;0418_r0p5_ND_B1_B4_median;0418_r1_ND_B2_B3_median;ratio_r1_CI_RE2_median;rel_r1_CI_RE2_median;0418_r1_ND_B1_B4_mean;ratio_r1_NDRE2_median;rel_r1_NDRE2_median;0418_r0p5_ND_B1_B4_mean;0418_r1_ND_B2_B3_mean;0510_r1_ND_B5_B6_mean
one_sqft,1平方尺,FHB_num,RandomForest,5-fold,63,25,0.0621366499449083,4.347629336891193,2.7027261989920723,0.2975737930544836,0.3784518658797862,ratio_r0p172_B2_p75;rel_r0p172_B2_p75;rel_r0p172_B2_mean;ratio_r0p172_B2_mean;diff_r0p172_ND_B5_B6_mean;diff_r0p172_NDRE2_mean;diff_r0p172_CI_RE2_mean;ratio_r0p172_B4_p75;rel_r0p172_B4_p75;ratio_r0p172_NDRE2_mean;rel_r0p172_NDRE2_mean;rel_r0p172_CI_RE2_mean;ratio_r0p172_CI_RE2_mean;diff_r0p172_B2_p75;rel_r0p172_B5_p75;ratio_r0p172_B5_p75;diff_r0p172_B5_p75;0418_r0p172_ND_B1_B4_mean;ratio_r0p172_B2_median;rel_r0p172_B2_median;0418_r0p172_ND_B1_B2_median;diff_r0p172_CI_RE2_median;diff_r0p172_B2_mean;0510_r0p172_B1_mean;diff_r0p172_B1_median
point,点采样,FHB_num,Ridge,5-fold,63,25,0.1664346666534061,4.0987605788772425,2.6090539782736526,0.4265532763206823,0.5084828748843208,diff_rpt_CI_RE2_mean;diff_rpt_CI_RE2_median;diff_rpt_ND_B5_B6_mean;diff_rpt_ND_B5_B6_median;diff_rpt_NDRE2_mean;diff_rpt_NDRE2_median;0418_rpt_CI_RE2_mean;0418_rpt_CI_RE2_median;0418_rpt_ND_B5_B6_mean;0418_rpt_ND_B5_B6_median;0418_rpt_NDRE2_mean;0418_rpt_NDRE2_median;ratio_rpt_B2_mean;ratio_rpt_B2_median;ratio_rpt_B2_p25;ratio_rpt_B2_p75;rel_rpt_B2_mean;rel_rpt_B2_median;rel_rpt_B2_p25;rel_rpt_B2_p75;ratio_rpt_CI_RE2_mean;rel_rpt_CI_RE2_mean;ratio_rpt_CI_RE2_median;rel_rpt_CI_RE2_median;ratio_rpt_NDRE2_mean
multi_scale,0.3/0.5/1.0m,FHB_rate,RandomForest,5-fold,62,25,0.0916634438137112,7.873196639515914,5.163725015810056,0.3856317410406096,0.6121029679768953,0418_r1_ND_B1_B2_mean;diff_r1_CI_RE2_median;diff_r1_ND_B5_B6_median;diff_r1_NDRE2_median;ratio_r1_CI_RE2_mean;rel_r1_CI_RE2_mean;0418_r1_ND_B1_B4_median;ratio_r1_NDRE2_mean;rel_r1_NDRE2_mean;diff_r1_ND_B5_B6_mean;diff_r1_NDRE2_mean;diff_r1_CI_RE2_mean;ratio_r1_CI_RE2_median;rel_r1_CI_RE2_median;0418_r1_ND_B1_B2_median;ratio_r1_NDRE2_median;rel_r1_NDRE2_median;0418_r1_ND_B3_B4_median;0418_r1_RENDVI1_median;0510_r1_ND_B5_B6_mean;0510_r1_NDRE2_mean;0510_r1_CI_RE2_mean;ratio_r0p5_CI_RE2_mean;rel_r0p5_CI_RE2_mean;ratio_r0p5_NDRE2_mean
one_sqft,1平方尺,FHB_rate,RandomForest,5-fold,62,25,-0.014304312726225,8.319779917171847,5.252750969518834,0.2865427303580515,0.3133459753166697,rel_r0p172_B2_p75;ratio_r0p172_B2_p75;ratio_r0p172_B2_mean;rel_r0p172_B2_mean;diff_r0p172_B2_p75;rel_r0p172_B4_p75;ratio_r0p172_B4_p75;ratio_r0p172_B2_median;rel_r0p172_B2_median;diff_r0p172_B2_mean;0510_r0p172_B1_mean;diff_r0p172_B1_median;0510_r0p172_B1_median;diff_r0p172_B1_mean;ratio_r0p172_B4_mean;rel_r0p172_B4_mean;rel_r0p172_B1_p75;ratio_r0p172_B1_p75;diff_r0p172_B1_p75;diff_r0p172_ND_B5_B6_mean;diff_r0p172_NDRE2_mean;ratio_r0p172_B5_p75;rel_r0p172_B5_p75;diff_r0p172_B5_p75;0510_r0p172_B2_p75
point,点采样,FHB_rate,RandomForest,5-fold,62,25,0.2225781316181574,7.28376756613259,4.562059228174753,0.4844843190121513,0.5220582869796033,diff_rpt_CI_RE2_mean;diff_rpt_CI_RE2_median;ratio_rpt_B2_mean;ratio_rpt_B2_median;ratio_rpt_B2_p25;ratio_rpt_B2_p75;rel_rpt_B2_mean;rel_rpt_B2_median;rel_rpt_B2_p25;rel_rpt_B2_p75;diff_rpt_ND_B5_B6_mean;diff_rpt_ND_B5_B6_median;diff_rpt_NDRE2_mean;diff_rpt_NDRE2_median;ratio_rpt_B1_mean;ratio_rpt_B1_median;ratio_rpt_B1_p25;ratio_rpt_B1_p75;rel_rpt_B1_mean;rel_rpt_B1_median;rel_rpt_B1_p25;rel_rpt_B1_p75;diff_rpt_B1_mean;diff_rpt_B1_median;diff_rpt_B1_p25
multi_scale,0.3/0.5/1.0m,Flower_num,RandomForest,LOOCV,33,25,0.4821837151984114,6.363362128371967,5.169560449931665,0.6952582554146629,0.6905717681181138,0510_r1_ND_B2_B3_mean;ratio_r1_EVI_mean;rel_r1_EVI_mean;diff_r1_EVI_mean;0510_r1_EVI_mean;0510_r1_ND_B3_B5_mean;0510_r1_RENDVI2_mean;0510_r1_RVI_mean;0510_r1_SAVI_mean;0510_r1_ND_B3_B6_mean;0510_r1_NDVI_mean;0510_r1_ND_B3_B4_mean;0510_r1_RENDVI1_mean;ratio_r0p5_DVI_mean;rel_r0p5_DVI_mean;ratio_r1_DVI_mean;rel_r1_DVI_mean;rel_r1_RENDVI1_mean;ratio_r1_RENDVI1_mean;0510_r1_DVI_mean;diff_r1_ND_B3_B4_mean;diff_r1_RENDVI1_mean;rel_r0p5_B6_p25;ratio_r0p5_B6_p25;ratio_r1_SAVI_mean
