dataset,dataset_name,target,model,cv,n,n_features,r2,rmse,mae,pearson_r,spearman_r,features,r2_rank_value
point,点采样,Flower_num,LinearRegression,LOOCV,33,25,-2.3063465902118443,16.079516109599815,11.763949573957689,-0.008524489536456,0.0270318635222505,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,-2.3063465902118443
point,点采样,Flower_num,Ridge,LOOCV,33,25,-0.0266125734849669,8.959877586565437,7.413384193519066,0.2654183651718671,0.4009446589511441,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,-0.0266125734849669
point,点采样,Flower_num,Lasso,LOOCV,33,25,-0.2183407338158345,9.760749540791496,8.142032434383465,0.1427973050927358,0.2595730497229769,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,-0.2183407338158345
point,点采样,Flower_num,ElasticNet,LOOCV,33,25,-0.0569883095319634,9.091465157898623,7.550698527092919,0.2422334974520605,0.3655178067573872,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,-0.0569883095319634
point,点采样,Flower_num,PLSRegression,LOOCV,33,25,-0.1558413618438823,9.50709650811444,7.880964506498515,0.2305770392849032,0.3279082575090387,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,-0.1558413618438823
point,点采样,Flower_num,RandomForest,LOOCV,33,25,0.009553535935737,8.800640680554563,7.546666762250095,0.2769324200009254,0.2943283028230132,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;ratio_rpt_DVI_mean,0.009553535935737
point,点采样,Flower_rat,LinearRegression,LOOCV,33,25,-2.3065588982504357,53.6020567042551,39.215815538817566,-0.0085403566908744,0.0270318635222505,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean,-2.3065588982504357
point,点采样,Flower_rat,Ridge,LOOCV,33,25,-0.0266509242757424,29.86790240482476,24.712827441388463,0.2653702136993196,0.4009446589511441,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean,-0.0266509242757424
point,点采样,Flower_rat,Lasso,LOOCV,33,25,-0.4907028673156626,35.99058167713957,29.036055956559107,0.0884830547577917,0.2511780610514705,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean,-0.4907028673156626
point,点采样,Flower_rat,ElasticNet,LOOCV,33,25,-0.0536065329536641,30.25746570771984,25.06148539979034,0.2437124956613448,0.358633916046752,diff_rpt_ND_B1_B5_mean;diff_rpt_ND_B1_B5_median;diff_rpt_ND_B1_B6_mean;diff_rpt_ND_B1_B6_median;0510_rpt_ND_B1_B6_mean;0510_rpt_ND_B1_B6_median;ratio_rpt_GNDVI_mean;rel_rpt_GNDVI_mean;ratio_rpt_GNDVI_median;rel_rpt_GNDVI_median;diff_rpt_ND_B2_B5_mean;diff_rpt_ND_B2_B5_median;0510_rpt_ND_B1_B5_mean;0510_rpt_ND_B1_B5_median;diff_rpt_ND_B2_B6_mean;diff_rpt_ND_B2_B6_median;diff_rpt_GNDVI_mean;diff_rpt_GNDVI_median;diff_rpt_DVI_mean;diff_rpt_DVI_median;0510_rpt_ND_B2_B6_mean;0510_rpt_ND_B2_B6_median;0510_rpt_GNDVI_mean;0510_rpt_GNDVI_median;rel_rpt_DVI_mean,-0.0536065329536641
