target,dataset,dataset_name,temporal,feature_count,mean_abs_spearman,max_abs_spearman
FHB_index,multi_scale,0.3/0.5/1.0m,diff,6,0.5921786052047903,0.6129553835717023
FHB_index,multi_scale,0.3/0.5/1.0m,0418,14,0.5637852146461169,0.6126859052530653
FHB_index,multi_scale,0.3/0.5/1.0m,ratio,5,0.5450198994433165,0.5603801636056251
FHB_index,multi_scale,0.3/0.5/1.0m,rel,5,0.5450198994433165,0.5603801636056251
FHB_index,one_sqft,1平方尺,ratio,7,0.422753736587447,0.4797791985013008
FHB_index,one_sqft,1平方尺,rel,7,0.422753736587447,0.4797791985013008
FHB_index,one_sqft,1平方尺,diff,10,0.4138903650286741,0.4385521075357503
FHB_index,one_sqft,1平方尺,0418,2,0.40198080791080115,0.4124635145057801
FHB_index,one_sqft,1平方尺,0510,4,0.3977225131026864,0.4099034704787287
FHB_index,point,点采样,diff,6,0.49387291456601545,0.5019572641251252
FHB_index,point,点采样,0418,6,0.4764915630139295,0.4764915630139295
FHB_index,point,点采样,ratio,8,0.4096003073702621,0.4111161229125952
FHB_index,point,点采样,rel,10,0.40517143120346316,0.4111161229125952
FHB_num,multi_scale,0.3/0.5/1.0m,0418,10,0.5722378876472618,0.6283437191510323
FHB_num,multi_scale,0.3/0.5/1.0m,diff,6,0.5928157745868586,0.603209970384991
FHB_num,multi_scale,0.3/0.5/1.0m,ratio,5,0.5584866075453975,0.5847210674077518
FHB_num,multi_scale,0.3/0.5/1.0m,rel,6,0.5540964441635592,0.5847210674077518
FHB_num,multi_scale,0.3/0.5/1.0m,0510,3,0.5340985017800843,0.5340985017800843
FHB_num,one_sqft,1平方尺,ratio,8,0.4202674746366082,0.4633131407245634
FHB_num,one_sqft,1平方尺,rel,8,0.4202674746366082,0.4633131407245634
FHB_num,one_sqft,1平方尺,diff,10,0.4066939563881372,0.4333859726681267
FHB_num,one_sqft,1平方尺,0418,2,0.4031037365161052,0.4061471773354039
FHB_num,one_sqft,1平方尺,0510,2,0.3870369051908912,0.3881147904810594
FHB_num,point,点采样,diff,6,0.46451360904773115,0.4704145026362602
FHB_num,point,点采样,0418,6,0.422759291807409,0.422759291807409
FHB_num,point,点采样,ratio,9,0.4076153557306397,0.4187267327218383
FHB_num,point,点采样,rel,9,0.4076153557306397,0.4187267327218383
FHB_rate,multi_scale,0.3/0.5/1.0m,0418,9,0.5587363049705427,0.6122086852425217
FHB_rate,multi_scale,0.3/0.5/1.0m,diff,6,0.594509853022234,0.6109400780550047
FHB_rate,multi_scale,0.3/0.5/1.0m,ratio,6,0.5712168154958824,0.5966418178790333
FHB_rate,multi_scale,0.3/0.5/1.0m,rel,6,0.5712168154958824,0.5966418178790333
FHB_rate,multi_scale,0.3/0.5/1.0m,0510,3,0.5511305350268652,0.5511305350268652
FHB_rate,one_sqft,1平方尺,ratio,8,0.43840289322360726,0.501311273600421
FHB_rate,one_sqft,1平方尺,rel,8,0.43840289322360726,0.501311273600421
FHB_rate,one_sqft,1平方尺,diff,10,0.41727806701035697,0.4587509735555706
FHB_rate,one_sqft,1平方尺,0510,4,0.4143125713189898,0.4281813551033541
FHB_rate,point,点采样,diff,10,0.44604228713093547,0.4632530579749145
FHB_rate,point,点采样,ratio,8,0.44528112281842536,0.4532892056896257
FHB_rate,point,点采样,rel,8,0.44528112281842536,0.4532892056896257
FHB_rate,point,点采样,0418,4,0.4269656065486504,0.4269656065486504
Flower_num,multi_scale,0.3/0.5/1.0m,0510,13,0.6711599712361538,0.7416132992408726
Flower_num,multi_scale,0.3/0.5/1.0m,ratio,7,0.6605656800379582,0.7016531531645023
Flower_num,multi_scale,0.3/0.5/1.0m,rel,7,0.6605656800379582,0.7016531531645023
Flower_num,multi_scale,0.3/0.5/1.0m,diff,3,0.6671777330201828,0.6993025563364804
Flower_num,one_sqft,1平方尺,0510,5,0.58795142659762,0.6586708111663896
Flower_num,one_sqft,1平方尺,diff,11,0.5564809036105076,0.595876295903522
Flower_num,one_sqft,1平方尺,ratio,7,0.5611210428034857,0.59318989952864
Flower_num,one_sqft,1平方尺,rel,7,0.5611210428034857,0.59318989952864
Flower_num,point,点采样,diff,12,0.5519145385604004,0.5992342913721246
Flower_num,point,点采样,0510,10,0.5308655036313767,0.5549087511865709
Flower_num,point,点采样,ratio,4,0.528548486758041,0.5408051702184402
Flower_num,point,点采样,rel,4,0.528548486758041,0.5408051702184402
Flower_rat,multi_scale,0.3/0.5/1.0m,0510,13,0.6711599712361538,0.7416132992408726
Flower_rat,multi_scale,0.3/0.5/1.0m,ratio,7,0.6605656800379582,0.7016531531645023
Flower_rat,multi_scale,0.3/0.5/1.0m,rel,7,0.6605656800379582,0.7016531531645023
Flower_rat,multi_scale,0.3/0.5/1.0m,diff,3,0.6671777330201828,0.6993025563364804
Flower_rat,one_sqft,1平方尺,0510,5,0.58795142659762,0.6586708111663896
Flower_rat,one_sqft,1平方尺,diff,11,0.5564809036105076,0.595876295903522
Flower_rat,one_sqft,1平方尺,ratio,7,0.5611210428034857,0.59318989952864
Flower_rat,one_sqft,1平方尺,rel,7,0.5611210428034857,0.59318989952864
Flower_rat,point,点采样,diff,12,0.5519145385604004,0.5992342913721246
Flower_rat,point,点采样,0510,10,0.5308655036313767,0.5549087511865709
Flower_rat,point,点采样,ratio,4,0.528548486758041,0.5408051702184402
Flower_rat,point,点采样,rel,4,0.528548486758041,0.5408051702184402
